Product Name,Category,Unit Price (MUR),Quantity,Discount %,Sale Amount (MUR),Date of Sale,Time of Sale,Channel,Payment Method,Store Region,Customer Age,Customer ID,Transaction ID
Science Decision,Home & Kitchen,4078.65,3,0.1,11012.35,2025-07-19,11:17:00,Online,Card,Central,36,CUST-24136,TX-46947949
Receive Base,Home & Kitchen,4510.17,3,0.05,12853.98,2025-05-31,20:33:00,In-Store,Card,South,38,CUST-66357,TX-76825189
Natural Although,Stationery,1200.0,2,0.0,2400.0,2024-09-10,08:08:00,In-Store,Card,Central,28,CUST-30904,TX-30153249
Dinner Explain,Clothing,2281.9,5,0.0,11409.49,2025-05-05,16:03:00,In-Store,Card,East,30,CUST-30527,TX-43592473
Close Process,Electronics,18753.46,1,0.05,17815.78,2025-02-08,17:17:00,Online,Card,East,23,CUST-66817,TX-26092857
Child Section,Home & Kitchen,4679.17,5,0.0,23395.83,2025-03-04,18:12:00,In-Store,Cash,West,37,CUST-11284,TX-51264244
Fact Full,Electronics,12187.84,3,0.1,37843.23,2024-11-08,17:56:00,Online,Card,Central,35,CUST-86901,TX-81464895
Remember Radio,Home & Kitchen,5730.77,2,0.05,10888.47,2024-09-01,08:39:00,Online,Mobile Wallet,East,55,CUST-55740,TX-51963686
Wall Certainly,Beauty,1867.6,2,0.0,3735.2,2025-08-15,11:19:00,In-Store,Cash,South,29,CUST-37175,TX-51539661
Health Show,Sports,5556.83,1,0.05,5278.99,2024-11-14,20:11:00,In-Store,Card,South,28,CUST-49321,TX-72364786
Can Forget,Stationery,1167.7,1,0.1,1050.93,2025-06-07,09:28:00,Online,Card,Central,35,CUST-84355,TX-71901096
Writer Late,Toys,1326.32,2,0.15,2254.75,2025-08-18,20:20:00,Online,Card,West,49,CUST-17840,TX-80773885
Power Culture,Clothing,2514.17,1,0.0,2514.17,2025-04-25,19:15:00,In-Store,Card,East,29,CUST-44966,TX-67190015
Pm Sometimes,Toys,3000.0,2,0.0,6900.0,2024-12-30,19:52:00,In-Store,Cash,North,49,CUST-50621,TX-74923047
My Financial,Electronics,12151.83,3,0.0,36455.5,2025-06-11,20:16:00,In-Store,Cash,Central,27,CUST-29543,TX-46017295
Serious Born,Home & Kitchen,8000.0,3,0.0,24000.0,2025-05-26,15:40:00,In-Store,Card,East,33,CUST-10085,TX-22183300
Create Best,Groceries,452.08,2,0.05,858.95,2025-08-18,11:25:00,Online,Card,North,23,CUST-43502,TX-83657992
Scene Heavy,Stationery,628.46,3,0.05,2149.34,2025-02-17,13:08:00,Online,Cash,West,27,CUST-35726,TX-69568645
Congress Nearly,Clothing,2807.87,4,0.1,10108.33,2025-08-16,11:15:00,In-Store,Card,South,47,CUST-96719,TX-87349170
Political For,Home & Kitchen,5654.5,3,0.0,16963.5,2024-09-05,11:44:00,In-Store,Mobile Wallet,Central,45,CUST-46214,TX-41514521
Lot Travel,Groceries,521.8,1,0.05,495.71,2025-08-04,10:28:00,Online,Cash,East,29,CUST-44581,TX-74465804
Eat Clearly,Clothing,6000.0,1,0.05,5700.0,2025-01-15,19:23:00,In-Store,Card,West,38,CUST-76882,TX-57528773
Skill Each,Home & Kitchen,2191.31,3,0.0,6573.92,2025-03-15,10:50:00,Online,Cash,East,18,CUST-28045,TX-17482159
Him Spring,Groceries,370.99,2,0.0,741.99,2025-06-17,13:44:00,In-Store,Card,West,25,CUST-54048,TX-26908299
Section Event,Toys,1588.35,2,0.0,3176.71,2025-07-14,19:01:00,In-Store,Mobile Wallet,South,33,CUST-92827,TX-35989723
Common Bill,Beauty,1889.11,3,0.0,5667.33,2025-07-10,20:09:00,In-Store,Cash,South,22,CUST-89880,TX-30702188
Employee Quality,Beauty,3543.91,3,0.05,10100.15,2025-05-07,08:48:00,Online,Card,North,32,CUST-12653,TX-61499881
Product Difficult,Electronics,14577.31,3,0.15,37172.15,2025-07-31,12:52:00,In-Store,Card,North,25,CUST-27421,TX-89459541
Tonight Federal,Groceries,240.66,1,0.0,240.66,2025-07-26,18:49:00,In-Store,Cash,Central,34,CUST-99318,TX-72115790
Officer Single,Home & Kitchen,3941.99,1,0.05,3744.89,2025-02-05,20:31:00,Online,Cash,Central,33,CUST-47360,TX-87350144
Page Couple,Stationery,785.59,2,0.0,1571.17,2024-10-14,08:18:00,In-Store,Cash,North,43,CUST-83727,TX-21997369
Age Accept,Sports,4057.2,1,0.05,3854.34,2024-11-17,16:47:00,In-Store,Mobile Wallet,Central,28,CUST-84357,TX-54762598
Policy Collection,Groceries,669.11,1,0.0,669.11,2025-07-13,20:10:00,In-Store,Card,West,20,CUST-32989,TX-65680689
Financial Everyone,Home & Kitchen,4517.48,3,0.0,13552.45,2025-04-11,08:34:00,In-Store,Card,Central,26,CUST-26550,TX-58537348
Three Nation,Groceries,800.0,2,0.05,1520.0,2025-08-18,17:24:00,In-Store,Cash,Central,16,CUST-10001,TX-72314153
Interview Ten,Home & Kitchen,3657.45,2,0.0,7314.89,2024-09-19,20:20:00,Online,Card,South,37,CUST-83014,TX-98698425
Area General,Sports,1777.89,3,0.0,5333.66,2025-07-20,18:28:00,In-Store,Card,North,37,CUST-41535,TX-11606671
Night Top,Sports,3065.36,3,0.0,9196.09,2025-05-10,14:55:00,In-Store,Cash,North,32,CUST-35648,TX-17159367
Assume Either,Groceries,220.13,3,0.0,660.39,2025-01-01,17:23:00,In-Store,Card,Central,27,CUST-21723,TX-76923693
Think Water,Groceries,226.41,3,0.05,645.28,2025-08-15,11:09:00,Online,Card,North,37,CUST-35299,TX-89620535
Nation Fact,Home & Kitchen,3156.81,1,0.0,3156.81,2025-04-06,18:09:00,In-Store,Cash,West,35,CUST-30212,TX-73592677
Him Baby,Groceries,498.27,1,0.0,498.27,2025-02-08,18:38:00,Online,Card,Central,46,CUST-80577,TX-62366774
Cultural Benefit,Clothing,5758.5,2,0.0,11517.0,2025-06-30,13:40:00,In-Store,Card,South,31,CUST-10777,TX-59004407
Should Our,Electronics,6260.15,3,0.0,18780.44,2025-06-03,13:05:00,In-Store,Mobile Wallet,North,20,CUST-22844,TX-63407852
Hot Thank,Groceries,765.65,1,0.0,765.65,2025-01-23,14:15:00,In-Store,Card,Central,30,CUST-92914,TX-10290114
Decision Lay,Electronics,20422.88,1,0.05,19401.74,2025-08-13,10:39:00,In-Store,Card,North,41,CUST-61539,TX-85291008
Short Amount,Clothing,2680.49,2,0.1,4824.88,2024-11-19,12:15:00,In-Store,Card,South,29,CUST-54699,TX-22866365
Attorney Dream,Home & Kitchen,4981.64,2,0.0,9963.28,2024-09-28,09:54:00,In-Store,Card,South,48,CUST-19933,TX-46912285
Major Move,Home & Kitchen,3158.12,1,0.0,3158.12,2025-02-10,10:15:00,In-Store,Mobile Wallet,South,43,CUST-34465,TX-37834479
Cell Happy,Groceries,647.0,1,0.25,485.25,2024-10-05,09:24:00,Online,Card,Central,18,CUST-74592,TX-75769615
Stop Her,Clothing,2936.98,2,0.0,5873.97,2025-08-13,12:33:00,In-Store,Mobile Wallet,Central,33,CUST-72904,TX-25289356
Check Trouble,Clothing,1911.99,1,0.25,1433.99,2024-11-27,20:42:00,Online,Card,East,38,CUST-29991,TX-40088912
I Toward,Electronics,9750.28,2,0.0,19500.56,2025-07-29,10:20:00,In-Store,Cash,Central,30,CUST-99456,TX-82249171
Like Involve,Groceries,207.0,1,0.05,196.65,2025-03-29,19:37:00,In-Store,Cash,Central,31,CUST-87363,TX-46501443
Eight Start,Home & Kitchen,3158.15,2,0.05,6000.48,2025-05-26,13:37:00,In-Store,Mobile Wallet,South,37,CUST-45994,TX-83560414
Democrat Including,Electronics,4972.48,2,0.05,9447.71,2024-09-16,11:16:00,In-Store,Card,North,54,CUST-84451,TX-79339897
Identify Region,Groceries,800.0,4,0.0,3200.0,2025-05-28,16:28:00,Online,Card,Central,31,CUST-27107,TX-55587785
Minute Partner,Sports,4582.76,2,0.1,8248.97,2024-12-03,17:59:00,In-Store,Card,Central,47,CUST-73378,TX-50893389
Evening Develop,Groceries,609.53,3,0.0,1828.58,2025-08-14,19:00:00,In-Store,Card,North,46,CUST-78226,TX-63849968
City If,Stationery,356.07,2,0.0,712.14,2025-06-02,11:10:00,Online,Card,North,16,CUST-18543,TX-70749192
Speak White,Clothing,1657.16,1,0.0,1657.16,2024-10-28,15:39:00,In-Store,Cash,Central,28,CUST-64527,TX-41467082
Job Fill,Home & Kitchen,4270.0,4,0.0,17080.02,2024-09-10,12:35:00,In-Store,Mobile Wallet,South,36,CUST-87211,TX-12943876
Sea Need,Groceries,547.78,1,0.05,520.39,2025-06-29,18:13:00,In-Store,Mobile Wallet,North,35,CUST-81320,TX-70650063
Billion Specific,Toys,2394.17,4,0.2,8810.55,2024-11-21,08:11:00,In-Store,Card,North,25,CUST-49071,TX-42217969
Quite Better,Electronics,19892.49,1,0.0,19892.49,2025-08-18,09:01:00,In-Store,Cash,Central,39,CUST-73328,TX-70425434
Personal A,Home & Kitchen,8000.0,4,0.1,28800.0,2025-04-13,15:02:00,In-Store,Card,North,40,CUST-54278,TX-39228587
Natural Describe,Home & Kitchen,8000.0,2,0.0,16000.0,2025-08-15,17:33:00,In-Store,Card,Central,37,CUST-63896,TX-67481106
Chance Man,Sports,2240.16,1,0.0,2240.16,2025-01-19,13:11:00,In-Store,Mobile Wallet,Central,22,CUST-32898,TX-33493691
Money Remain,Clothing,1525.34,2,0.0,3050.69,2025-02-09,15:53:00,In-Store,Cash,South,16,CUST-54500,TX-66539701
Him Weight,Electronics,19127.52,1,0.0,19127.52,2025-05-26,10:23:00,In-Store,Cash,West,24,CUST-60057,TX-77309854
She Who,Beauty,2703.31,2,0.0,5406.62,2025-07-12,10:21:00,In-Store,Card,West,29,CUST-71680,TX-79433504
Father Administration,Stationery,365.54,2,0.1,657.97,2024-12-27,18:56:00,Online,Card,North,52,CUST-81873,TX-34233229
Contain Successful,Groceries,439.92,1,0.15,373.93,2025-04-14,16:51:00,Online,Card,South,16,CUST-51811,TX-44267937
Specific Most,Groceries,235.2,1,0.1,211.68,2025-08-06,08:20:00,Online,Card,East,33,CUST-80920,TX-46380916
Poor According,Electronics,19434.26,2,0.05,36925.1,2025-08-09,19:43:00,In-Store,Card,South,46,CUST-28024,TX-65572564
Culture Bar,Groceries,315.17,1,0.05,299.41,2025-07-27,13:30:00,Online,Card,North,33,CUST-83585,TX-27214819
Red Remain,Clothing,1419.25,3,0.0,4257.75,2025-03-11,11:23:00,In-Store,Card,North,28,CUST-22381,TX-98112241
Well Hard,Home & Kitchen,2749.86,4,0.0,10999.43,2024-09-08,19:56:00,In-Store,Cash,East,32,CUST-72373,TX-58961209
Third Evidence,Groceries,501.84,1,0.05,476.75,2025-07-31,09:00:00,In-Store,Card,Central,25,CUST-42966,TX-78479987
Program His,Groceries,141.12,4,0.0,564.47,2025-01-04,13:59:00,In-Store,Cash,West,33,CUST-64938,TX-40701164
Win Trial,Home & Kitchen,4332.5,3,0.0,12997.5,2025-03-13,11:27:00,In-Store,Card,South,40,CUST-64239,TX-33734304
Participant Third,Groceries,273.0,1,0.05,259.35,2024-12-29,14:51:00,In-Store,Card,North,31,CUST-52780,TX-24623153
Born Short,Home & Kitchen,4252.23,3,0.0,12756.68,2025-07-14,16:46:00,In-Store,Mobile Wallet,South,43,CUST-42945,TX-73997786
Win Particularly,Electronics,25000.0,3,0.1,67500.0,2025-05-17,19:00:00,Online,Card,Central,26,CUST-33901,TX-26550516
Toward Guy,Beauty,2491.25,1,0.05,2366.68,2025-05-25,12:20:00,In-Store,Card,Central,26,CUST-91051,TX-89818385
Activity Sea,Toys,1817.11,4,0.0,7268.44,2025-07-08,16:51:00,In-Store,Mobile Wallet,Central,29,CUST-35836,TX-92923206
Build Like,Electronics,9823.86,3,0.1,26524.41,2025-07-28,19:55:00,In-Store,Card,East,50,CUST-62708,TX-60663977
Travel Effect,Electronics,10375.53,2,0.2,19090.98,2024-12-02,18:34:00,In-Store,Cash,North,36,CUST-11517,TX-30562748
Inside Half,Toys,1169.65,1,0.15,994.2,2025-08-17,10:03:00,Online,Cash,East,21,CUST-14246,TX-35714275
Wish Need,Toys,2204.59,1,0.0,2204.59,2025-08-17,09:50:00,In-Store,Mobile Wallet,East,52,CUST-27390,TX-11542178
Little I,Electronics,10817.71,2,0.05,20553.66,2024-09-04,18:19:00,Online,Cash,Central,33,CUST-82488,TX-13884109
Coach Job,Clothing,6000.0,2,0.0,12000.0,2024-09-01,16:58:00,In-Store,Card,North,39,CUST-69900,TX-80305646
Store Reason,Home & Kitchen,7015.79,1,0.05,6665.0,2025-07-20,18:52:00,Online,Cash,Central,25,CUST-26405,TX-77172461
Institution Attack,Home & Kitchen,1840.62,4,0.0,7362.48,2025-08-16,20:48:00,In-Store,Cash,East,29,CUST-43095,TX-62243508
So Middle,Stationery,348.36,1,0.05,330.95,2024-11-16,09:23:00,In-Store,Mobile Wallet,North,32,CUST-35740,TX-86048974
Leader Keep,Home & Kitchen,2651.46,3,0.0,7954.37,2025-03-04,19:27:00,In-Store,Card,Central,24,CUST-84727,TX-20808088
Garden Interest,Home & Kitchen,1187.92,3,0.0,3563.77,2025-04-07,18:07:00,In-Store,Card,East,18,CUST-67544,TX-53042079
Laugh Visit,Electronics,11351.99,3,0.0,39164.36,2024-11-25,08:07:00,In-Store,Card,Central,26,CUST-79674,TX-78490658
Still Where,Clothing,3071.37,3,0.0,9214.1,2025-08-14,10:58:00,In-Store,Card,South,44,CUST-94553,TX-13617018
Recognize Theory,Clothing,4913.69,3,0.0,14741.08,2024-10-22,12:44:00,In-Store,Card,North,28,CUST-98637,TX-93161311
Plan Management,Electronics,8739.48,2,0.0,17478.96,2025-04-07,09:17:00,In-Store,Card,West,16,CUST-49490,TX-45821068
Site To,Beauty,1188.44,2,0.1,2139.19,2025-07-04,14:01:00,In-Store,Cash,Central,48,CUST-58274,TX-20263914
Her Floor,Toys,1621.63,1,0.0,1621.63,2025-02-08,18:52:00,In-Store,Card,East,26,CUST-27677,TX-69829324
Something Arm,Home & Kitchen,8000.0,1,0.0,8000.0,2025-08-18,12:48:00,In-Store,Card,Central,32,CUST-96509,TX-66043158
Commercial Agent,Clothing,2340.72,3,0.0,7022.16,2025-05-03,13:57:00,In-Store,Card,Central,20,CUST-19828,TX-77172128
Simply Sort,Clothing,3879.83,1,0.0,3879.83,2025-06-23,15:38:00,Online,Card,Central,23,CUST-49227,TX-68629752
Identify Join,Groceries,664.2,1,0.0,664.2,2025-08-18,18:10:00,In-Store,Card,Central,50,CUST-37192,TX-95017153
Assume Instead,Electronics,17411.65,2,0.0,34823.31,2025-08-11,12:29:00,In-Store,Card,South,34,CUST-62440,TX-96243821
Air Total,Electronics,10774.08,2,0.0,21548.15,2025-01-22,12:29:00,In-Store,Card,Central,44,CUST-63260,TX-17602813
Strategy Kind,Groceries,534.13,1,0.1,480.72,2025-04-06,11:16:00,In-Store,Cash,East,16,CUST-98500,TX-48302465
Cover Worker,Home & Kitchen,8000.0,1,0.05,7600.0,2025-07-16,20:50:00,Online,Card,East,34,CUST-65768,TX-86173764
Different Computer,Home & Kitchen,5919.63,2,0.1,10655.34,2025-08-10,09:10:00,Online,Cash,East,42,CUST-89797,TX-35442624
Career Determine,Clothing,2302.74,1,0.0,2302.74,2024-10-22,18:52:00,Online,Card,East,16,CUST-40022,TX-77916313
City Market,Stationery,387.14,3,0.0,1161.41,2025-08-18,13:16:00,In-Store,Card,South,34,CUST-90775,TX-22115928
Quality Consider,Clothing,2774.55,4,0.0,11098.2,2025-04-25,14:14:00,In-Store,Cash,West,40,CUST-16397,TX-11078330
Represent Century,Electronics,6630.46,1,0.15,5635.89,2024-08-21,15:51:00,In-Store,Card,South,43,CUST-32734,TX-69744220
History Pull,Sports,4811.34,4,0.2,15396.3,2025-08-01,14:15:00,Online,Cash,East,44,CUST-66956,TX-48822506
Spend Present,Electronics,12455.14,2,0.05,23664.77,2024-08-22,15:06:00,In-Store,Cash,Central,30,CUST-17739,TX-86461390
Sell Feeling,Electronics,25000.0,2,0.0,57500.0,2024-11-06,10:01:00,In-Store,Card,South,27,CUST-27731,TX-96527189
Few Charge,Clothing,2459.03,4,0.0,9836.13,2025-02-22,20:18:00,In-Store,Card,East,31,CUST-29534,TX-46747753
Understand Suddenly,Toys,1379.88,1,0.0,1586.86,2024-12-26,15:54:00,In-Store,Cash,Central,16,CUST-73100,TX-46305133
